Company ID,Company Name,Broker ORN
c1fae825-501b-409e-b274-58840254aad8,Colliers - Dubai,15407
27aadee4-65d5-4377-8349-1a4221bff845,Daark Real Estate LLC,23393
7aca0fab-fba7-4477-9e51-bb0b4fa92ca1,MTH Properties,27846
fae51077-e798-46a5-a58a-c9c843dc9c7e,Fidu Properties,20456
da4855e3-3843-4ed8-8308-fee0320ad0a5,MD Real Estate LLC,
59d13123-9e60-4335-b917-878e26482d00,Flash Real Estate LLC - RAK,
92c627c1-45d5-4fdc-910c-aba3195a45df,Top Class Real Estate Broker L.L.C,509
39a8388c-97f8-4701-9646-a622d52ef7c0,Emirates Properties - Dubai,111
9b14f3e2-1637-4307-ac99-56b4b860ec38,Mon Maison International Real Estate,2941114
02c42dec-6b3f-49ef-8d73-065665b98d92,MARKET FIRST REAL ESTATE L.L.C,1124080
2fab96a0-2da4-4e97-8777-910a0f402c36,Property Concierge Real Estate,873
2a7a8544-b3ec-472b-a339-bc30d6e91107,Yousif Al Suwaidi Properties ( YAS Properties ),12882
e2f75b4f-f9dd-4cf7-85ec-bc6a468f688e,Julfar Real Estate LLC - RAK,
0e2df571-0f79-4538-b2b9-89a18e15bf83,ENGEL & VÖLKERS Dubai - S1,16081
84e91cee-cf73-413f-a8d2-9eb2bc4554cc,Layan Real Estate Brokers,15624
33288214-8218-468d-90c4-6aad3a800e7d,City Tower Real Estate,1534
9e581352-0ebe-45e7-8791-b4c694c8b810,Coldwell Banker - Business Bay,1201
5d7675d3-df8b-40c5-856d-4d520288c272,Alpha Real Estate Consulting FZ-LLC - RAK,
8bba65df-d5b3-4645-b01d-f1b0160d759d,Greystone Real Estate,968688
88dff552-447e-4915-a400-0e2360f4c0fd,Space & Place Real Estate,20643
68b456ae-d3b1-40bd-b962-30f7c7fbab8f,M N A Properties,28489
daf94c81-66b1-44a5-b405-b48cbdf25c93,Classic Properties Real Estate,18715
fad5d5d7-1035-43f1-a00a-9d73120e99cf,Range International,18149
67ebe59e-12c9-40b6-9253-f72e668334bf,Deals Experts Real Estate,
e94003d1-f31a-4f12-888a-56934ed37d13,MAJESTIC KEY REAL ESTATE BROKERAGE,33090
e728f336-8f29-4a61-812e-0bbc8bf2b1ae,Realty Real Estate,
4b7dca90-3115-4aaa-963a-dcfef6daffa7,Gulf Gate Real Estate,3351
a9ee8a8a-cc6b-4b85-bf34-184e00499a64,A & Co Real Estate,22546
0c23f1b8-510c-45c9-b66c-4725b7f4643d,Thom & Gery,21716
923619d6-cecc-4bfd-9b99-26571dc7dbeb,Pacific Homes FZ-LLC,
d4438e0f-c91d-46a5-a164-2f11690712c1,True Home Real Estate,17233
c13ffc51-089c-4d56-8c95-9732dfb7ff3f,LOCK BROWN REAL ESTATE L.L.C,34240
be5cef97-38be-4d9e-95a6-a07c8311517e,Landmark International Realty,26535
1a999892-5f49-43b4-ae87-22ac65957b1f,Savills Dubai,422
2a3daffc-0178-4ac2-bfa8-d32321d0458a,Mercury Real Estate,28077
447ebb31-28a1-42dd-899c-c1cca83bf166,BEN & CORE REAL ESTATE L.L.C,26505
50364cc7-f479-42de-b4a1-b34428b0dd42,Multiflags Real Estate,
e577484d-062e-456b-9543-7089cc261b39,Highrise Realty FZE,
0b897507-e910-4b61-bcdb-da4aa128d265,M N R Real Estate,31654
af30e335-4cae-43ba-816d-641e7114906a,fam Properties - Branch 13,1858
b270ecb9-2651-446b-a5de-208ed1d2e298,F & C Properties LLC,23115
74723441-e7ea-426a-a268-6950e4d205bf,Providential Properties Management,
e8c36181-0c0f-464a-be63-61e1c8c82af8,OAK STREET REAL ESTATE BROKER L.L.C,26378
04dd274b-be47-4b12-a28a-91d9feea1594,Rekaz Sharjah,
bb1d6ece-389d-43e1-8e1b-0cf12c0947a9,Coldwell Banker - Onyx 3,1201
10b0bdeb-a020-4531-bccb-6a3adf203a6a,Hudson Real Estate LLC,25248
c5f57271-79d3-488a-a236-64301e41dcb1,Sky View Real Estate Brokers,563
3070c56e-8744-4e60-80c4-afae49c85f61,Inspire Real Estate Broker,12237
0a98f52a-964e-4293-9aa9-595c2adbe4d7,fam Properties - Branch 10,1858
94489ead-3c7e-4f1e-8606-4da34e4797f4,Forsah Real Estate Brokerage,
