Agent ID,Agent Name,Agent Type,Total Properties_x,Spoken Languages by Agent,Agent BRN,Company ID,Designation,Total Properties_y
0fcdff25-56bf-4cc6-b57f-487256e6bb78,Pouya Mandavi,SUPERAGENT,84,"['English', 'Arabic', 'Persian/Farsi']",52000,5fcac14e-c161-423e-8dce-e60cc1d95be6,CEO,84
7da67b42-5813-4524-92e3-04771d2c8b5a,Adeeb Ahmed Syed,REGULAR,83,"['English', 'Hindi', 'Urdu']",48296,cc19acee-2f9e-4133-a1ef-7d430a6d708c,Real Estate Consultant,85
df5b40a1-5df0-4a96-9ff0-e18047fd5c47,Zac Paterson,REGULAR,228,['English'],47113,2b0a90fd-2ca2-45e9-a4a9-879b533ddb39,Senior Property Consultant,227
d882d27a-76fa-45d1-af01-24f82a8e657a,Mazhar Elsayed Abdelmawgoud Mohamed,REGULAR,209,"['English', 'Arabic', 'Italian']",45547,cf218b1e-8eef-4fca-8ad8-2501cbdbc1c3,Managing Director,209
dd8e9522-2bef-4973-b22e-fa467809d7d3,Aman Dhir,SUPERAGENT,140,"['English', 'Hindi', 'Punjabi']",6621,6327c4a7-22c7-4055-a2d3-98d511455e14,Senior Sale Consultant,140
7a0f94d3-23be-416c-a82f-6d93d567d5e5,Maria Dinulescu,REGULAR,73,"['English', 'French', 'Italian', 'Romanian']",53279,ccff95ee-a279-4449-b2b9-1a0eaf9c2dbe,Real Estate Broker,73
bfe30106-4324-42fd-9d90-0b64c18e4811,Shakila Khattak,REGULAR,118,"['English', 'Urdu']",,33d9978a-acb1-411c-ab3a-cc3a1c842852,Property Consultant,118
81fc681d-9a03-4430-8152-ac0ee5007f7c,Poonam Ghimirea,REGULAR,62,"['English', 'Hindi']",40044,db4f0cdd-0791-4e2a-a3f1-61b778ba8a4b,Property consultant,62
cfe20cc5-53f5-481d-b750-ca508b700558,Rajesh Haridas Nair,REGULAR,542,"['English', 'Hindi']",55616,558711c1-4bdf-4635-999c-9faebcc91cad,Property Consultant,545
4d64ea34-d73f-4f75-8a21-55d9cb421d8e,Bharat Bedi,REGULAR,183,"['English', 'Hindi', 'Urdu', 'Punjabi']",37387,ae7a82b4-6a3f-4ba4-b88b-8491ce6f670e,Founder and Managing Director,183
d52e8159-4b80-45ac-b9f6-183f0f55959f,Laura Matthews,SUPERAGENT,104,['English'],42470,dd2c4be9-49ac-488b-9d03-59e4cbe53f3f,Property Advisor,104
80b2f277-eada-429f-b890-291286506a4d,Muhammad Sarfraz Haider,REGULAR,378,"['English', 'Hindi', 'Urdu', 'Punjabi']",52216,2036af3e-c8d9-4ff8-8eba-df9ac3f6ffb3,Senior Investment Advisor,378
8ba1d9d6-ee5f-46b6-87ab-4d8ffc1963a9,Mark Lawson,SUPERAGENT,940,['English'],58272,9d759023-4f59-4a9d-9f9a-8088ff172ab3,Property Consultant,987
f40a4ec0-44ec-43da-800b-10785ddfa96d,Hamzeh Alrousan,SUPERAGENT,319,"['English', 'Arabic']",,01c80920-0c6e-4b2d-825a-236ce2b0393b,Sales Consultant,319
b8255261-fcd7-4a19-b48a-3a66aec9c5ba,Renu Chhipa,SUPERAGENT,270,"['English', 'Hindi']",51875,bb749c40-99fd-493f-8f3d-a153a753da3e,Property Manager,266
